pickup_distance_km,time_difference_min,route_overlap_percent,detour_km,destination_compatibility,preference_compatible,match
2.51,22,26.44,0.47,1.0,0,0
4.93,1,54.45,1.47,0.47,1,1
3.46,2,15.24,2.43,0.98,1,0
4.05,3,19.46,2.43,0.69,1,0
4.89,5,66.7,2.09,0.81,0,1
4.03,20,4.77,3.26,0.78,0,0
3.7,15,23.57,2.68,0.11,0,0
3.65,13,97.89,3.39,0.42,0,0
2.44,12,56.82,0.8,0.5,1,1
4.53,6,6.97,2.47,0.62,0,0
3.29,9,24.83,0.76,0.38,1,0
2.61,13,11.42,3.8,0.36,0,0
2.72,23,7.65,0.91,0.0,1,0
0.96,9,58.48,3.97,0.86,1,1
2.25,17,84.07,3.19,0.66,0,0
1.84,5,1.11,2.53,0.14,1,0
2.91,10,16.45,0.27,0.58,1,0
0.67,18,46.2,0.76,0.24,0,0
4.27,12,56.66,3.97,0.88,1,0
2.08,12,19.23,2.2,0.17,0,0
2.63,6,95.95,1.14,0.43,0,1
0.24,20,64.22,1.55,0.88,0,1
0.78,21,37.95,1.09,0.05,1,0
2.59,2,13.99,2.24,0.83,0,0
4.87,28,71.64,3.75,0.55,0,0
0.48,6,73.26,3.46,0.83,1,1
3.09,17,31.02,1.41,0.63,1,0
4.44,13,11.31,2.15,0.45,1,0
1.77,25,3.52,3.24,0.45,0,0
3.54,6,74.26,3.67,0.95,1,1
0.57,0,72.34,1.03,0.13,0,1
2.76,7,28.51,3.2,0.36,0,0
2.2,22,18.57,2.93,0.16,0,0
4.03,29,55.14,3.91,0.16,1,0
3.75,15,4.69,0.74,0.17,1,0
4.71,12,94.77,2.79,0.14,0,0
0.37,22,11.64,3.73,0.5,0,0
0.13,7,83.25,1.98,0.06,1,1
4.16,18,91.62,3.95,0.62,0,0
0.23,15,52.46,3.86,0.65,1,1
3.51,21,33.35,3.44,0.91,1,0
3.32,28,98.37,3.69,0.2,0,0
4.38,12,46.3,3.48,0.9,1,0
4.22,5,39.29,3.95,0.45,0,0
2.3,6,79.5,2.63,0.26,0,0
4.61,4,19.04,1.74,0.74,0,0
0.91,14,41.71,3.04,0.13,1,0
2.52,23,18.57,0.36,0.6,0,0
1.3,5,69.11,3.98,0.25,1,1
3.79,18,57.9,3.48,0.37,1,0
1.24,6,31.55,2.18,0.41,0,0
0.9,18,37.31,1.44,0.57,0,0
2.66,17,56.9,3.26,0.99,1,0
1.24,2,81.8,3.35,0.95,0,1
1.36,16,37.27,1.71,0.63,0,0
0.58,3,57.46,2.22,0.38,0,1
2.46,7,20.71,1.94,0.21,0,0
3.13,14,9.55,3.42,0.71,1,0
1.59,20,43.57,0.37,0.1,1,0
0.37,4,82.25,1.66,0.31,0,1
4.44,22,53.2,1.17,0.37,1,0
1.85,15,54.38,2.64,0.52,1,0
0.27,27,52.79,2.32,0.91,1,1
1.6,24,85.97,1.85,0.68,1,1
1.81,10,9.5,2.01,0.53,1,0
0.83,1,14.86,3.38,0.32,0,0
2.22,19,48.32,2.94,0.52,0,0
3.46,9,34.69,0.69,0.31,1,0
4.38,16,8.45,0.42,0.86,0,0
3.46,9,58.04,2.4,0.12,0,0
3.35,4,59.82,2.99,0.9,0,0
3.91,6,3.77,2.31,0.11,1,0
1.32,16,51.04,1.1,0.36,1,1
3.56,16,57.05,3.98,0.6,0,0
2.4,10,80.92,3.15,0.73,0,1
3.82,6,97.46,1.77,0.91,0,1
1.56,30,91.55,3.46,0.61,1,0
3.59,24,94.52,0.31,0.4,0,1
2.7,8,37.42,3.44,0.35,0,0
3.35,6,65.55,2.05,0.08,1,0
3.68,25,73.21,0.28,0.58,1,1
4.77,13,27.73,1.34,0.49,0,0
2.38,8,51.36,1.32,0.28,0,1
1.82,16,0.53,2.71,0.19,1,0
0.71,3,77.75,1.25,0.51,1,1
4.85,18,89.46,2.43,0.14,1,0
4.86,18,2.3,3.52,0.28,1,0
4.5,29,7.54,2.42,0.6,1,0
3.17,8,64.57,1.15,0.38,1,0
4.85,3,50.75,0.74,0.25,1,1
4.61,9,65.83,3.16,0.9,1,0
0.57,18,57.84,2.77,0.76,1,0
3.53,23,46.95,0.91,0.21,1,0
2.42,13,63.73,2.52,0.71,0,0
1.43,0,40.72,1.03,0.08,0,1
3.86,19,76.05,1.32,0.28,0,1
1.38,27,56.41,1.86,0.7,1,1
3.64,21,78.06,1.41,0.87,0,1
0.92,17,66.12,3.91,0.07,1,0
4.88,19,41.74,3.77,0.22,0,0
4.72,4,30.7,1.3,0.7,1,1
3.1,26,98.87,0.89,0.36,1,0
3.82,22,6.72,1.68,0.2,0,0
4.95,14,65.97,1.45,0.83,0,0
1.55,16,59.38,1.72,0.2,1,0
4.8,26,40.0,1.99,0.32,1,0
0.97,3,73.44,3.3,0.08,0,1
1.28,17,89.65,3.65,0.63,1,1
0.83,2,60.02,0.73,0.69,0,1
1.68,29,27.39,0.44,0.76,0,0
2.53,25,26.8,2.97,0.01,1,0
0.24,30,74.69,0.49,0.02,1,1
0.6,17,55.11,2.83,0.87,0,0
2.43,24,78.24,0.53,0.25,0,1
0.99,25,76.4,1.1,0.64,0,1
1.88,19,23.11,1.74,0.12,1,0
1.76,26,5.81,3.04,0.26,0,0
3.26,1,90.59,3.0,0.04,0,0
4.83,5,94.49,0.39,0.24,1,1
0.54,11,91.57,1.47,0.5,1,1
2.56,15,12.22,1.81,0.95,0,0
1.08,22,22.67,0.2,0.86,1,0
4.04,1,23.79,2.78,0.77,0,0
3.98,17,42.5,3.69,0.22,0,0
0.48,21,5.78,2.1,0.76,1,0
3.34,6,50.47,2.24,0.18,1,0
2.56,27,1.42,3.18,0.59,1,0
0.33,13,81.99,0.82,0.37,1,1
4.49,29,84.09,3.21,0.04,0,0
2.74,22,33.58,3.82,0.81,0,0
0.11,19,12.51,3.24,0.94,0,0
4.56,21,10.72,2.59,0.55,0,0
4.13,18,57.61,2.51,0.32,1,0
1.29,27,16.38,2.64,0.22,0,0
4.67,26,52.41,1.26,0.51,0,0
3.69,4,28.7,0.29,0.22,0,0
3.8,5,57.28,0.85,0.35,0,1
4.79,28,38.93,1.37,0.44,0,0
3.81,14,58.24,2.15,0.58,1,0
2.72,26,71.13,0.45,0.49,1,1
3.92,15,74.18,2.76,0.93,0,0
3.09,2,20.25,1.43,0.43,1,0
1.27,1,18.19,1.79,0.85,1,0
4.37,6,36.48,2.95,0.46,0,0
2.38,9,3.34,1.14,0.27,0,0
2.66,1,5.09,1.95,0.61,1,0
3.08,29,37.92,3.31,0.08,1,0
0.72,21,48.6,0.47,0.43,0,0
0.94,16,90.21,2.9,0.17,0,0
4.68,16,0.16,2.14,0.99,0,0
0.5,19,3.18,3.78,0.0,0,0
2.76,22,38.73,0.75,0.38,0,0
1.08,26,7.03,1.81,0.25,0,0
2.32,22,77.67,3.04,0.07,1,0
1.12,10,90.0,0.8,0.42,1,1
1.61,29,80.83,2.98,0.35,1,0
4.86,28,13.88,1.94,0.82,1,0
4.23,5,20.2,3.12,0.07,0,0
2.88,16,21.99,0.6,0.92,0,0
2.1,21,38.78,2.61,0.65,0,0
1.56,15,17.41,2.78,0.25,0,0
4.41,29,9.29,3.75,0.25,0,0
1.83,22,22.72,2.79,0.23,1,0
2.69,20,44.52,1.32,0.89,0,0
2.08,18,63.85,1.96,0.81,0,0
1.79,11,75.98,3.22,0.97,1,1
2.65,22,35.81,1.07,0.06,0,0
0.6,17,32.04,1.42,0.09,0,0
2.53,21,44.66,3.67,0.75,0,0
1.12,27,1.31,1.21,0.19,0,0
4.78,30,79.93,3.01,0.38,1,0
3.18,7,42.59,1.6,0.77,1,0
2.78,20,50.75,1.13,0.55,1,1
4.67,29,51.32,3.33,0.64,0,0
4.39,4,7.21,2.58,0.23,1,0
3.57,0,10.89,2.93,0.0,0,0
1.73,10,93.56,2.84,0.56,1,1
3.46,6,80.53,3.0,0.64,0,0
2.9,27,60.3,0.85,0.04,1,0
0.56,10,56.66,0.58,0.41,0,1
4.59,0,88.86,3.17,0.09,0,0
3.76,30,42.37,0.33,0.62,0,0
1.92,7,64.3,2.05,0.46,0,0
0.65,12,67.49,2.03,0.25,1,0
3.4,28,23.51,3.77,0.18,1,0
1.74,27,10.82,0.58,0.41,1,0
4.83,21,81.58,2.86,0.25,0,0
2.72,8,71.27,3.06,0.58,0,0
2.69,1,90.85,3.11,0.64,0,1
3.81,15,44.26,1.16,0.33,1,0
2.37,11,46.95,3.42,0.17,0,0
0.73,8,96.94,0.69,0.34,1,1
0.41,27,73.52,2.23,0.35,1,1
1.89,10,21.25,3.52,0.12,0,0
2.0,21,72.02,0.69,0.51,1,1
2.06,4,69.71,0.23,0.04,1,1
1.22,10,0.15,0.19,0.41,1,1
4.55,14,93.34,3.54,0.4,1,0
1.67,20,91.56,3.17,0.09,0,0
3.95,30,12.35,3.35,0.05,0,0
0.96,6,11.49,1.31,0.9,0,0
0.93,20,4.97,3.96,0.95,0,0
1.44,24,30.53,3.87,0.63,1,0
2.92,18,82.9,2.62,0.94,1,1
0.48,23,13.46,3.88,0.73,0,0
1.05,30,43.12,2.27,0.63,0,0
2.87,19,90.23,1.95,0.2,0,0
3.85,1,32.95,1.45,0.63,1,0
4.26,23,40.48,2.97,0.29,1,0
2.31,14,60.38,3.23,0.9,1,0
3.26,14,54.19,2.84,0.65,1,0
4.17,15,40.81,3.05,0.55,1,0
3.03,9,10.68,3.03,0.48,1,0
0.23,0,45.07,2.65,0.36,0,0
3.32,18,28.62,1.89,0.83,0,0
1.41,28,16.29,0.67,0.07,1,0
1.82,2,92.08,1.91,0.35,0,1
3.04,11,33.38,3.13,0.03,1,0
1.17,16,41.71,0.76,0.73,0,0
3.7,8,39.09,1.83,0.57,0,0
0.24,29,17.31,1.5,0.82,1,0
0.83,24,97.68,3.09,0.92,1,1
1.93,29,90.43,2.09,0.9,1,1
4.13,16,79.43,0.51,0.26,0,1
2.46,5,59.01,1.34,0.86,1,1
3.67,11,68.5,0.91,0.7,1,1
1.39,10,47.43,2.52,0.22,1,0
1.75,3,87.48,1.25,0.76,1,1
1.26,2,50.39,1.56,0.02,1,1
4.16,10,77.14,3.67,0.53,1,0
2.54,23,0.7,1.69,0.57,0,0
3.2,22,42.38,3.1,0.33,0,0
4.43,25,13.78,1.58,0.67,1,0
4.26,9,81.68,2.65,0.52,1,0
2.54,5,69.32,3.99,0.26,0,0
2.99,24,52.92,1.23,0.01,0,0
0.84,3,57.52,1.09,0.8,0,1
2.04,20,10.46,2.11,0.02,0,0
0.59,7,86.35,1.07,0.49,0,1
3.84,19,10.21,0.75,0.3,1,0
0.41,25,21.82,0.17,0.78,0,1
1.94,20,78.61,2.35,0.43,1,1
0.23,5,42.55,2.19,0.27,0,1
0.98,11,29.8,1.91,0.19,1,0
3.82,12,24.71,3.1,0.09,0,0
1.04,5,44.0,0.75,0.94,0,1
3.24,8,73.72,3.89,0.9,0,0
2.58,10,6.94,0.3,0.11,1,0
1.33,4,73.48,2.87,0.13,0,1
2.15,12,1.67,2.56,0.59,1,0
1.35,28,5.31,0.52,0.48,1,0
2.69,13,44.08,3.82,0.84,1,0
4.55,1,90.57,3.28,0.08,1,0
1.5,29,10.35,2.01,0.4,1,0
0.97,5,60.25,0.23,0.86,0,1
0.92,5,68.14,3.2,0.77,1,1
3.39,14,97.34,2.88,0.13,1,0
0.15,14,17.81,0.81,0.44,1,0
1.36,17,71.62,2.32,0.42,0,1
2.35,24,72.82,3.71,0.39,1,0
2.16,19,8.74,3.23,0.68,0,0
4.66,11,26.33,2.28,0.2,1,0
0.94,9,27.94,1.1,0.22,1,0
4.03,17,35.64,3.68,0.04,0,0
0.35,25,9.19,0.68,0.26,0,0
3.94,7,36.71,2.96,0.14,1,0
2.78,27,52.24,1.54,0.7,1,0
1.98,15,19.71,2.73,0.64,0,0
1.08,21,76.84,3.7,0.05,1,0
0.23,22,91.48,2.57,0.41,0,1
0.19,15,59.76,1.71,0.96,0,1
2.47,30,49.54,1.04,0.69,0,0
3.98,1,20.37,3.86,0.96,0,0
1.94,2,38.42,3.15,0.64,0,0
4.17,3,98.21,2.47,0.42,1,1
3.27,4,35.69,3.6,0.75,1,0
2.78,2,5.57,0.15,0.86,0,1
1.99,5,58.22,2.24,0.02,1,1
3.36,8,32.16,1.18,0.89,1,0
3.97,6,67.35,1.05,0.65,0,0
2.83,18,18.6,1.33,0.56,0,0
4.09,27,8.35,1.27,0.3,1,0
1.18,15,92.1,1.08,0.22,0,1
4.49,27,64.85,0.9,0.15,1,0
1.89,21,84.2,0.93,0.62,1,1
1.84,22,24.53,1.18,0.47,1,0
3.72,27,33.49,3.07,0.67,0,0
3.46,21,79.3,0.16,0.12,0,1
2.24,15,94.88,3.26,0.16,0,0
2.63,26,6.98,3.83,0.36,1,0
4.55,7,56.04,2.58,0.93,0,0
4.92,1,11.16,3.23,0.44,1,0
3.08,8,18.86,3.92,0.78,1,0
4.48,16,86.94,1.15,0.78,1,1
4.75,25,50.86,2.6,0.34,0,0
2.96,17,1.5,1.63,0.86,0,0
1.58,1,36.98,2.65,1.0,0,0
0.76,22,93.74,2.47,0.3,0,1
2.34,22,79.2,3.94,0.92,0,0
3.27,16,63.81,3.58,0.67,1,0
4.64,5,84.3,3.2,0.55,1,1
0.49,4,88.95,2.67,0.98,1,1
1.2,15,59.66,1.86,0.41,0,0
4.58,8,7.28,1.45,0.3,1,0
2.11,21,57.59,1.92,0.35,1,0
2.52,27,53.84,3.3,0.88,0,0
2.13,30,3.51,3.39,0.24,1,0
3.68,6,61.46,2.55,0.85,0,0
1.61,27,27.87,2.15,0.58,1,0
1.13,2,67.0,2.83,0.58,0,1
1.18,20,99.73,0.74,0.45,1,1
2.88,15,40.78,0.61,0.46,0,0
4.89,18,97.07,2.19,0.65,1,1
4.13,10,47.4,0.72,0.1,0,0
1.5,28,48.32,0.52,0.98,0,0
3.01,29,46.48,3.79,0.09,0,0
1.98,20,68.23,0.33,0.84,1,1
3.83,22,55.64,0.88,0.89,1,0
4.14,13,57.06,1.12,0.56,0,0
3.22,20,1.87,2.87,0.8,0,0
3.66,22,31.88,1.27,0.24,0,0
0.44,13,41.02,3.06,0.45,0,0
3.63,26,57.34,1.24,0.01,1,0
2.56,0,35.66,3.68,0.81,1,0
4.63,15,55.03,2.35,0.94,0,0
3.65,15,4.4,3.42,0.43,1,0
0.36,28,65.42,0.96,0.76,1,1
2.18,22,23.61,3.52,0.75,1,0
4.65,4,46.41,2.43,0.56,0,0
0.64,6,29.06,3.53,0.63,0,0
2.37,2,72.41,2.27,0.84,0,1
4.61,2,1.7,3.82,0.18,0,0
3.07,19,49.75,2.98,0.89,1,0
4.32,16,23.77,1.27,0.28,0,0
2.08,30,87.34,2.23,1.0,0,1
4.26,23,84.05,1.49,0.72,0,1
3.01,27,9.56,2.06,0.81,0,0
3.22,20,29.26,0.61,0.22,1,0
3.09,30,82.9,2.08,0.71,0,0
0.95,25,23.33,1.11,0.29,0,0
2.01,9,96.57,3.21,0.01,1,0
2.15,0,37.23,2.92,0.74,0,0
1.55,9,19.5,2.84,0.56,0,0
1.7,7,50.77,2.93,0.1,0,0
2.06,4,12.47,2.12,0.84,0,0
2.62,28,21.47,1.37,0.47,1,0
3.02,8,51.52,2.81,0.33,1,0
3.69,8,85.71,1.85,0.19,1,1
1.22,4,22.82,2.88,0.51,1,0
3.9,0,41.31,0.22,0.32,1,1
2.34,11,6.53,3.31,1.0,1,0
0.78,12,37.95,2.57,0.93,1,0
2.19,14,2.31,0.28,0.29,1,0
0.45,8,69.2,3.95,0.74,1,1
4.41,30,35.13,1.29,0.94,0,0
3.57,27,77.49,0.42,0.85,1,1
0.73,2,45.91,1.47,0.24,0,1
4.51,1,89.32,2.52,0.65,0,0
1.33,5,95.33,0.86,0.92,1,1
4.84,18,71.05,1.72,0.85,0,1
1.47,16,85.08,1.75,0.0,0,1
2.32,11,82.58,2.32,0.84,0,1
0.2,18,14.06,2.16,0.56,0,0
4.42,22,79.07,0.26,0.88,0,1
3.09,27,23.07,1.87,0.29,1,0
4.39,20,63.12,3.65,0.71,0,0
0.32,27,69.35,1.96,0.91,0,1
4.28,8,87.89,3.27,0.2,0,0
3.54,5,97.43,3.47,0.21,0,0
1.48,6,48.46,1.12,0.48,0,0
1.63,15,72.17,0.46,0.75,1,1
1.39,7,89.0,3.19,0.35,0,1
1.38,5,0.48,2.5,0.86,0,0
3.54,8,23.83,3.73,0.79,0,0
3.01,11,72.65,2.08,0.91,1,1
4.37,26,80.15,2.93,0.61,0,0
3.73,19,12.43,1.3,0.32,1,0
2.65,24,38.33,1.72,0.95,0,0
3.45,8,82.06,2.48,0.33,0,0
3.96,2,67.14,3.37,0.06,1,0
1.84,29,35.49,1.69,0.64,0,0
0.68,8,40.86,2.47,0.52,0,0
3.15,22,8.2,1.31,0.78,1,0
0.9,25,25.27,1.32,0.07,1,0
3.71,3,6.04,0.44,0.21,0,0
2.61,15,61.51,1.37,0.64,1,1
4.04,18,52.83,2.12,0.42,1,0
1.32,2,84.78,3.8,0.4,0,1
4.65,10,58.94,2.23,0.54,1,0
0.89,25,98.91,0.36,0.47,1,1
2.46,12,70.39,2.2,0.76,1,1
3.6,6,86.86,1.11,0.47,0,1
2.76,14,7.99,1.16,0.86,1,0
1.48,21,34.76,1.88,0.36,1,0
2.31,3,6.76,2.27,0.52,0,0
3.07,4,93.88,0.77,0.5,0,1
3.44,21,5.78,2.83,0.35,1,0
2.82,27,25.8,2.8,0.7,1,0
2.55,27,63.32,0.33,0.97,0,1
3.68,30,81.12,1.31,0.56,0,0
2.07,7,37.3,3.53,0.68,1,0
3.78,4,41.56,2.13,0.07,1,0
4.02,3,91.5,3.37,0.99,0,1
0.66,9,62.45,0.78,0.31,1,1
3.72,30,58.6,1.87,0.05,0,0
0.35,14,44.57,0.28,0.86,0,1
1.12,23,74.06,2.67,0.32,0,0
2.18,24,75.0,0.85,0.21,0,1
3.3,12,25.33,2.34,0.37,0,0
4.83,19,15.07,0.57,0.38,0,0
1.77,30,36.8,3.8,0.09,1,0
2.63,4,52.08,0.52,0.14,1,1
2.46,25,73.52,0.57,0.68,0,1
3.18,5,85.77,2.27,0.04,1,1
0.66,7,3.51,3.24,0.56,0,0
3.93,17,42.22,3.07,0.48,1,0
0.33,23,66.87,0.3,0.1,0,1
0.34,12,89.91,0.75,0.74,0,1
1.61,15,40.45,2.64,0.1,1,0
2.23,6,71.51,0.63,0.89,1,1
1.77,1,88.08,1.81,0.06,0,1
0.83,12,3.14,0.86,0.45,0,0
4.39,29,74.22,2.76,0.81,0,0
1.69,5,82.63,1.66,0.63,0,1
1.18,10,96.31,2.71,0.2,1,1
2.57,2,19.99,1.17,0.96,1,0
1.3,20,77.18,3.49,0.76,0,1
3.09,21,32.02,0.67,0.13,0,0
4.82,23,47.68,3.94,0.34,0,0
2.24,3,34.43,3.12,0.58,1,0
3.93,7,51.21,1.07,0.3,1,0
4.71,23,23.02,2.16,0.73,0,0
2.67,10,98.4,0.7,0.34,0,1
1.97,3,21.69,1.49,0.82,1,0
1.8,10,40.04,1.98,0.57,1,0
0.89,22,69.09,2.26,0.02,1,0
0.29,21,54.91,2.04,0.84,0,1
2.15,0,24.35,1.97,0.14,0,0
1.38,24,40.65,1.41,0.11,0,0
1.09,26,32.19,0.92,0.96,0,0
0.46,27,40.6,3.04,0.3,0,0
1.41,0,62.8,0.38,0.3,0,1
4.01,28,75.31,1.77,0.7,0,0
2.22,16,28.61,3.54,0.24,1,0
2.22,25,2.35,2.5,0.1,0,0
4.87,11,1.89,3.2,0.64,1,0
1.67,29,77.33,2.61,0.62,1,0
0.63,15,73.32,3.3,0.68,0,1
1.91,24,53.29,3.11,0.94,1,0
2.04,9,99.06,2.54,0.28,1,0
0.95,28,51.29,2.17,0.81,0,0
4.01,16,97.5,3.08,0.77,1,0
2.74,24,91.41,2.37,0.81,0,1
2.75,6,77.51,0.35,0.63,0,1
4.91,29,55.1,1.72,0.59,1,0
4.2,1,85.68,2.05,0.46,1,1
4.84,12,60.72,0.19,0.95,1,1
1.65,28,18.06,1.18,0.22,1,0
1.54,19,55.94,0.79,0.14,1,0
4.76,24,73.2,3.76,0.75,1,0
4.8,28,96.44,3.08,0.41,1,0
3.2,25,51.15,2.91,0.44,1,0
3.09,21,17.14,2.79,0.56,1,0
3.69,16,82.15,0.91,0.76,1,1
0.52,16,25.61,0.41,0.05,0,0
2.97,8,55.0,2.06,0.27,1,0
3.6,10,73.43,2.19,0.67,1,1
2.35,5,20.95,0.7,0.87,0,0
3.27,8,5.05,1.58,0.56,0,0
2.36,14,30.86,3.0,0.88,1,0
1.64,2,27.62,0.46,0.05,1,0
2.16,29,30.34,0.75,0.16,0,0
1.54,7,40.81,2.67,0.78,0,0
1.76,13,0.96,1.29,0.09,0,0
4.72,28,57.43,1.39,0.89,0,0
4.22,6,43.19,1.33,0.22,1,0
0.73,29,86.26,0.53,0.25,0,1
3.32,16,95.28,2.82,0.97,1,0
1.9,22,93.23,3.47,0.56,0,0
3.55,18,67.71,3.06,0.26,1,0
3.85,13,94.95,3.39,0.37,1,0
0.3,19,50.62,1.06,0.7,1,1
3.8,26,72.76,0.56,0.96,0,1
4.17,16,52.15,2.98,0.14,1,0
3.0,3,74.91,3.4,0.83,0,1
4.32,1,73.98,3.16,0.7,0,1
3.46,12,77.74,0.35,0.34,1,1
3.15,24,84.75,1.64,0.06,1,0
0.41,22,77.21,1.22,0.29,0,1
2.08,29,29.82,2.32,0.61,1,0
3.18,2,93.23,2.97,0.04,0,0
4.11,0,45.2,0.8,0.83,1,1
4.25,19,6.7,2.23,0.89,0,0
1.46,5,33.5,0.1,0.47,0,1
0.21,12,20.27,3.02,0.3,1,0
1.89,16,60.43,2.91,0.46,1,0
2.33,16,89.69,3.87,0.52,1,0
1.47,5,31.5,2.61,0.1,1,0
2.09,22,36.86,0.2,0.07,1,0
3.7,10,32.29,1.94,0.81,0,0
4.56,11,2.54,3.03,0.52,1,0
2.34,23,78.76,0.66,0.76,1,1
4.36,23,34.46,3.95,0.08,0,0
